SUM_POP_20;ACE;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
17156.0;1.0;9.186948301687266;45.46370718642095;(45.46370718642095, 9.186948301687266)
16786.0;2.0;9.18557199637112;45.474099768651016;(45.474099768651016, 9.18557199637112)
14012.0;3.0;9.189942498415173;45.485197744377814;(45.485197744377814, 9.189942498415173)
14788.0;4.0;9.179489431201333;45.493819944272474;(45.493819944272474, 9.179489431201333)
17010.0;5.0;9.20579517019016;45.487580283976655;(45.487580283976655, 9.20579517019016)
15124.0;6.0;9.201660792432394;45.464794740453655;(45.464794740453655, 9.201660792432394)
12133.0;7.0;9.185485504420441;45.44880708381832;(45.44880708381832, 9.185485504420441)
14164.0;8.0;9.203248036006457;45.44497086630858;(45.44497086630858, 9.203248036006457)
13461.0;9.0;9.209617853007046;45.45214815683742;(45.45214815683742, 9.209617853007046)
17578.0;10.0;9.170394407321906;45.46456049311411;(45.46456049311411, 9.170394407321906)
15495.0;11.0;9.17232970764933;45.476725318295095;(45.476725318295095, 9.17232970764933)
15334.0;12.0;9.18096319444072;45.44144019873362;(45.44144019873362, 9.18096319444072)
14768.0;13.0;9.187026556111853;45.45468041849655;(45.45468041849655, 9.187026556111853)
15004.0;14.0;9.212912668515614;45.475553108361765;(45.475553108361765, 9.212912668515614)
14474.0;15.0;9.208634661989455;45.48119533566671;(45.48119533566671, 9.208634661989455)
16207.0;16.0;9.218609283539521;45.481325405649336;(45.481325405649336, 9.218609283539521)
16860.0;17.0;9.215647975498351;45.46509708171419;(45.46509708171419, 9.215647975498351)
15025.0;18.0;9.216285543282547;45.470829769123;(45.470829769123, 9.216285543282547)
14292.0;19.0;9.214872997492305;45.4588084442745;(45.4588084442745, 9.214872997492305)
12990.0;20.0;9.21897602131525;45.451614724122194;(45.451614724122194, 9.21897602131525)
13895.0;21.0;9.216025804243344;45.489951363318674;(45.489951363318674, 9.216025804243344)
18077.0;22.0;9.231011877316503;45.47403696415014;(45.47403696415014, 9.231011877316503)
18088.0;23.0;9.230493132416544;45.482599121753495;(45.482599121753495, 9.230493132416544)
14413.0;24.0;9.222412616225931;45.4939644123891;(45.4939644123891, 9.222412616225931)
15058.0;25.0;9.229593375464049;45.488780433058075;(45.488780433058075, 9.229593375464049)
17099.0;26.0;9.227911850114095;45.500727709364455;(45.500727709364455, 9.227911850114095)
16728.0;27.0;9.241061213441169;45.502573128227276;(45.502573128227276, 9.241061213441169)
12447.0;28.0;9.250750680163828;45.46582037113725;(45.46582037113725, 9.250750680163828)
14217.0;29.0;9.229484059487747;45.454920236299685;(45.454920236299685, 9.229484059487747)
15242.0;30.0;9.203578046558262;45.41825183600594;(45.41825183600594, 9.203578046558262)
13059.0;31.0;9.213841812838256;45.43202206814487;(45.43202206814487, 9.213841812838256)
17949.0;32.0;9.182823538848668;45.431909752052746;(45.431909752052746, 9.182823538848668)
14616.0;33.0;9.176213268918511;45.416340182914915;(45.416340182914915, 9.176213268918511)
13342.0;34.0;9.168525882598434;45.418764434040924;(45.418764434040924, 9.168525882598434)
17832.0;35.0;9.218603790540289;45.44177543905513;(45.44177543905513, 9.218603790540289)
16299.0;36.0;9.230213466597;45.43668060626437;(45.43668060626437, 9.230213466597)
17211.0;37.0;9.246890417156017;45.43881192404611;(45.43881192404611, 9.246890417156017)
14959.0;38.0;9.255404182380097;45.45343838003674;(45.45343838003674, 9.255404182380097)
12401.0;39.0;9.250419640510271;45.477861648583975;(45.477861648583975, 9.250419640510271)
13998.0;40.0;9.250580835931908;45.497679992209264;(45.497679992209264, 9.250580835931908)
17663.0;41.0;9.200323185480467;45.495509325536126;(45.495509325536126, 9.200323185480467)
12899.0;42.0;9.210690977046008;45.515539066870915;(45.515539066870915, 9.210690977046008)
17702.0;43.0;9.243853772957891;45.51269828282854;(45.51269828282854, 9.243853772957891)
13074.0;44.0;9.21649462362509;45.508781245485274;(45.508781245485274, 9.21649462362509)
13122.0;45.0;9.227949941212596;45.5127493755284;(45.5127493755284, 9.227949941212596)
17375.0;46.0;9.186980666674943;45.51609738042713;(45.51609738042713, 9.186980666674943)
16738.0;47.0;9.19641923020534;45.51077265506097;(45.51077265506097, 9.19641923020534)
13609.0;48.0;9.201956822323856;45.52263231476486;(45.52263231476486, 9.201956822323856)
16537.0;49.0;9.179761975610063;45.50136794313609;(45.50136794313609, 9.179761975610063)
15538.0;50.0;9.161632225376193;45.50388814239128;(45.50388814239128, 9.161632225376193)
17288.0;51.0;9.171151818413717;45.512779382257165;(45.512779382257165, 9.171151818413717)
16218.0;52.0;9.172146112783931;45.52790336795318;(45.52790336795318, 9.172146112783931)
16303.0;53.0;9.15793527084645;45.52077415508294;(45.52077415508294, 9.15793527084645)
16633.0;54.0;9.16298638528656;45.49100242146936;(45.49100242146936, 9.16298638528656)
14657.0;55.0;9.15158402260536;45.482872834566486;(45.482872834566486, 9.15158402260536)
14491.0;56.0;9.158911377915748;45.462116735728856;(45.462116735728856, 9.158911377915748)
14009.0;57.0;9.15310987210843;45.468056357342306;(45.468056357342306, 9.15310987210843)
14843.0;58.0;9.136107453512622;45.47200886287545;(45.47200886287545, 9.136107453512622)
14847.0;59.0;9.144078831268383;45.47189249146908;(45.47189249146908, 9.144078831268383)
15062.0;60.0;9.16188541763326;45.453966745916695;(45.453966745916695, 9.16188541763326)
12525.0;62.0;9.158860157032839;45.44203437443376;(45.44203437443376, 9.158860157032839)
14382.0;63.0;9.137150844044013;45.43916150254903;(45.43916150254903, 9.137150844044013)
17548.0;64.0;9.15431020523678;45.43174053909192;(45.43174053909192, 9.15431020523678)
17182.0;65.0;9.142478801712032;45.51224912381442;(45.51224912381442, 9.142478801712032)
14684.0;66.0;9.128367503592791;45.51720027412987;(45.51720027412987, 9.128367503592791)
17606.0;67.0;9.149330425795076;45.4993069597693;(45.4993069597693, 9.149330425795076)
15610.0;68.0;9.140561144949098;45.49713957028087;(45.49713957028087, 9.140561144949098)
14632.0;69.0;9.123649792801283;45.50132938495575;(45.50132938495575, 9.123649792801283)
14436.0;70.0;9.144558345661144;45.46313506597521;(45.46313506597521, 9.144558345661144)
17550.0;71.0;9.118005026591243;45.49221649038287;(45.49221649038287, 9.118005026591243)
17808.0;72.0;9.102694649441089;45.49988900910729;(45.49988900910729, 9.102694649441089)
12790.0;73.0;9.115262673052461;45.48141242089628;(45.48141242089628, 9.115262673052461)
15596.0;74.0;9.125580194820264;45.46481205156141;(45.46481205156141, 9.125580194820264)
17664.0;75.0;9.107874213563477;45.4585273014456;(45.4585273014456, 9.107874213563477)
14560.0;76.0;9.101742672547584;45.47199292451091;(45.47199292451091, 9.101742672547584)
14310.0;77.0;9.082657444036467;45.4571003365645;(45.4571003365645, 9.082657444036467)
17480.0;78.0;9.090590909367906;45.463216725039096;(45.463216725039096, 9.090590909367906)
16530.0;79.0;9.136254824762746;45.45578181007226;(45.45578181007226, 9.136254824762746)
13161.0;80.0;9.121554681401836;45.451679905745664;(45.451679905745664, 9.121554681401836)
12495.0;81.0;9.146429053514435;45.456789398726926;(45.456789398726926, 9.146429053514435)
14830.0;82.0;9.129827890366048;45.44496422804406;(45.44496422804406, 9.129827890366048)
12583.0;83.0;9.14891091027803;45.450151614727815;(45.450151614727815, 9.14891091027803)
14933.0;84.0;9.159753812935282;45.476265408354706;(45.476265408354706, 9.159753812935282)
15312.0;85.0;9.171984938477351;45.48525642996814;(45.48525642996814, 9.171984938477351)
15778.0;61.0;9.1692422340508;45.44851660257778;(45.44851660257778, 9.1692422340508)
